"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","COMUNIDADES","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"6692","8.31423183","0.0","0.12027569","0.0","84","1","24","false","C04751","3.0","1","0","0","0.77143026","false","0","C04751","0","0.0"
"6702","5.17379951","9.9241E-4","0.19328155","0.0","13","26","21","false","NT5C1BRDH14","17.84615385","26","0","0","0.86956877","false","0","NT5C1BRDH14","176383750","0.11947627"
"6704","5.17379951","9.9241E-4","0.19328155","0.0","13","26","21","false","NT5C3B","17.84615385","26","0","0","0.86956877","false","0","NT5C3B","176383750","0.11947627"
"6706","5.17379951","9.9241E-4","0.19328155","0.0","13","26","21","false","NT5C2","17.84615385","26","0","0","0.86956877","false","0","NT5C2","176383750","0.11947627"
"6708","5.17379951","9.9241E-4","0.19328155","0.0","13","26","21","false","NT5C","17.84615385","26","0","0","0.86956877","false","0","NT5C","176383750","0.11947627"
"6710","5.17379951","9.9241E-4","0.19328155","0.0","13","26","21","false","NT5E","17.84615385","26","0","0","0.86956877","false","0","NT5E","176383750","0.11947627"
"6712","5.17379951","9.9241E-4","0.19328155","0.0","13","26","21","false","NT5C3A","17.84615385","26","0","0","0.86956877","false","0","NT5C3A","176383750","0.11947627"
"6714","5.17379951","9.9241E-4","0.19328155","0.0","13","26","21","false","NT5M","17.84615385","26","0","0","0.86956877","false","0","NT5M","176383750","0.11947627"
"6716","5.17379951","9.9241E-4","0.19328155","0.0","13","26","21","false","NT5C1A","17.84615385","26","0","0","0.86956877","false","0","NT5C1A","176383750","0.11947627"
"6718","5.52662121","8.5E-7","0.18094238","0.0","13","2","21","false","GMPR2","33.0","2","0","0","0.85854309","false","0","GMPR2","30046","0.74418605"
"6720","5.73277238","9.479E-5","0.17443567","0.0","13","4","22","false","IMPDH1","13.0","4","0","0","0.85210086","false","0","IMPDH1","3639340","0.375"
"6722","5.73277238","9.479E-5","0.17443567","0.0","13","4","22","false","IMPDH2","13.0","4","0","0","0.85210086","false","0","IMPDH2","3639340","0.375"
"6729","5.16045263","0.00150343","0.19378145","0.0","13","12","21","false","ITPA","14.75","12","0","0","0.86998586","false","0","ITPA","61284222","0.16369048"
"6731","5.72754969","4.848E-5","0.17459473","0.0","13","4","22","false","NUDT16","14.5","4","0","0","0.85226407","false","0","NUDT16","1396972","0.35526316"
"6737","4.14913681","7.4422E-4","0.24101399","0.10606061","31","12","20","false","PDE10A","239.41666667","12","0","0","0.90158947","false","0","PDE10A","52906740","0.27556709"
"6739","4.87987814","3.229E-5","0.20492315","0.16666667","90","4","21","false","PDE11A","45.5","4","0","0","0.87875381","false","0","PDE11A","2192420","0.36585366"
"6741","4.38314232","3.6326E-4","0.22814682","0.08571429","8","15","21","false","PDE1A","109.13333333","15","0","0","0.8942768","false","0","PDE1A","27061518","0.14333333"
"6743","4.38314232","3.6326E-4","0.22814682","0.08571429","8","15","21","false","PDE1C","109.13333333","15","0","0","0.8942768","false","0","PDE1C","27061518","0.14333333"
"6745","4.87987814","3.229E-5","0.20492315","0.16666667","90","4","21","false","PDE2A","45.5","4","0","0","0.87875381","false","0","PDE2A","2192420","0.36585366"
"6747","4.14913681","7.4422E-4","0.24101399","0.10606061","31","12","20","false","PDE3A","239.41666667","12","0","0","0.90158947","false","0","PDE3A","52906740","0.27556709"
"6749","4.10010155","0.00100424","0.2438964","0.06666667","31","15","20","false","PDE3B","218.06666667","15","0","0","0.90312183","false","0","PDE3B","87003146","0.22867157"
"6751","4.38314232","3.6326E-4","0.22814682","0.08571429","8","15","21","false","PDE1B","109.13333333","15","0","0","0.8942768","false","0","PDE1B","27061518","0.14333333"
"6762","4.06238213","0.00450929","0.24616099","0.62580645","4","31","20","false","ADCY10","211.25806452","31","0","0","0.90430056","false","0","ADCY10","174832254","0.19054967"
"6764","4.95227042","1.227E-5","0.20192758","0.0","90","2","21","false","PDE7B","57.5","2","0","0","0.87649155","false","0","PDE7B","1091518","0.57653061"
"6766","4.17945742","2.9675E-4","0.23926551","0.13333333","31","10","20","false","PDE4A","280.6","10","0","0","0.90064196","false","0","PDE4A","26822374","0.33214709"
"6768","4.17945742","2.9675E-4","0.23926551","0.13333333","31","10","20","false","PDE4B","280.6","10","0","0","0.90064196","false","0","PDE4B","26822374","0.33214709"
"6770","4.17945742","2.9675E-4","0.23926551","0.13333333","31","10","20","false","PDE4C","280.6","10","0","0","0.90064196","false","0","PDE4C","26822374","0.33214709"
"6772","4.17945742","2.9675E-4","0.23926551","0.13333333","31","10","20","false","PDE4D","280.6","10","0","0","0.90064196","false","0","PDE4D","26822374","0.33214709"
"6774","4.95227042","1.227E-5","0.20192758","0.0","90","2","21","false","PDE7A","57.5","2","0","0","0.87649155","false","0","PDE7A","1091518","0.57653061"
"6776","4.95227042","1.227E-5","0.20192758","0.0","90","2","21","false","PDE8A","57.5","2","0","0","0.87649155","false","0","PDE8A","1091518","0.57653061"
"6778","4.95227042","1.227E-5","0.20192758","0.0","90","2","21","false","PDE8B","57.5","2","0","0","0.87649155","false","0","PDE8B","1091518","0.57653061"
"6780","3.84651095","0.00348787","0.25997586","0.10796221","24","39","20","false","PLA2G4B","118.28205128","39","0","0","0.91104653","false","0","PLA2G4B","243817714","0.0867792"
"6782","3.84651095","0.00348787","0.25997586","0.10796221","24","39","20","false","PLA2G4E","118.28205128","39","0","0","0.91104653","false","0","PLA2G4E","243817714","0.0867792"
"6784","3.84651095","0.00348787","0.25997586","0.10796221","24","39","20","false","PLA2G4F","118.28205128","39","0","0","0.91104653","false","0","PLA2G4F","243817714","0.0867792"
"6786","3.84651095","0.00348787","0.25997586","0.10796221","24","39","20","false","PLA2G4D","118.28205128","39","0","0","0.91104653","false","0","PLA2G4D","243817714","0.0867792"
"6788","3.84651095","0.00348787","0.25997586","0.10796221","24","39","20","false","PLA2G4A","118.28205128","39","0","0","0.91104653","false","0","PLA2G4A","243817714","0.0867792"
"6790","3.84651095","0.00348787","0.25997586","0.10796221","24","39","20","false","PLA2G4C","118.28205128","39","0","0","0.91104653","false","0","PLA2G4C","243817714","0.0867792"
"6792","3.84651095","0.00348787","0.25997586","0.10796221","24","39","20","false","JMJD7PLA2G4B","118.28205128","39","0","0","0.91104653","false","0","JMJD7PLA2G4B","243817714","0.0867792"
"6797","4.48324387","1.5012E-4","0.22305278","0.0","3","12","21","false","RAPGEF2","103.58333333","12","0","0","0.89114863","false","0","RAPGEF2","889466","0.31661523"
"6799","4.4056289","5.2075E-4","0.22698235","0.72857143","4","21","21","false","HTR7","172.0952381","21","0","0","0.8935741","false","0","HTR7","25944378","0.22101848"
"6801","4.21906282","1.3541E-4","0.23701946","0.30049261","4","29","20","false","RAPGEF3","116.34482759","29","0","0","0.89940429","false","0","RAPGEF3","3120284","0.1897958"
"6803","4.20803714","0.00131364","0.23764049","0.23295455","4","33","20","false","RAPGEF4","103.93939394","33","0","0","0.89974884","false","0","RAPGEF4","27558118","0.16462565"
"6806","4.04511824","5.8642E-4","0.24721156","0.3047619","46","36","20","false","ITPR2","125.55555556","36","0","0","0.90484006","false","0","ITPR2","17861368","0.1186797"
"6809","4.73059626","7.37E-6","0.21138984","0.0","8","9","21","false","CNGB1","86.44444444","9","0","0","0.88341887","false","0","CNGB1","622212","0.5621345"
"6811","4.73059626","7.37E-6","0.21138984","0.0","8","9","21","false","CNGA1","86.44444444","9","0","0","0.88341887","false","0","CNGA1","622212","0.5621345"
"6813","4.17757145","6.2561E-4","0.23937352","0.25","71","16","20","false","KCNMA1","174.5625","16","0","0","0.90070089","false","0","KCNMA1","41528088","0.19469274"
"6815","5.08936602","9.4E-6","0.19648813","0.0","211","2","21","false","HCN4","35.5","2","0","0","0.87220731","false","0","HCN4","23558","0.5"
"6817","5.10590454","0.0","0.19585168","0.0","90","1","21","false","HCN2","67.0","1","0","0","0.87169048","false","0","HCN2","0","0.0"
"6819","4.76584941","5.2E-6","0.20982618","0.0","8","8","21","false","CNGA2","93.25","8","0","0","0.88231721","false","0","CNGA2","515214","0.65425532"
"6821","5.04772958","6.5E-7","0.19810887","0.0","90","2","21","false","CNGA3","49.5","2","0","0","0.87350845","false","0","CNGA3","8648","0.62987013"
"6823","4.76584941","5.2E-6","0.20982618","0.0","8","8","21","false","CNGA4","93.25","8","0","0","0.88231721","false","0","CNGA4","515214","0.65425532"
"6825","5.10590454","0.0","0.19585168","0.0","90","1","21","false","CNGB3","67.0","1","0","0","0.87169048","false","0","CNGB3","0","0.0"
"6827","4.16625562","2.1112E-4","0.24002368","0.40909091","14","12","20","false","CFTR","240.33333333","12","0","0","0.90105451","false","0","CFTR","3541156","0.28567182"
