"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"258499","10.43642198","0.00122345","0.09581828","0.0","40","21","2","false","C05302","30.476190476190474","19","0","false","0","C05302","66546740"
"266690","1.0","2.065E-5","1.0","0.0","1","2","1","false","CA5B","14.0","1","0","false","0","CA5B","72486390"
"262604","38.26634577","0.01550548","0.02613262","0.0","57","6","4","false","DPM2","12.666666666666666","2","0","false","0","DPM2","98806247280"
"266700","1.0","2.065E-5","1.0","0.0","1","2","1","false","CA3","14.0","1","0","false","0","CA3","72486390"
"266702","1.0","2.065E-5","1.0","0.0","1","2","1","false","CA4","14.0","1","0","false","0","CA4","72486390"
"262599","38.3882872","8.8357E-4","0.02604961","0.0","57","3","2","false","DPM3","6.0","1","0","false","0","DPM3","1826990751"
"266696","1.0","2.065E-5","1.0","0.0","1","2","1","false","CA1","14.0","1","0","false","0","CA1","72486390"
"266698","1.0","2.065E-5","1.0","0.0","1","2","1","false","CA2","14.0","1","0","false","0","CA2","72486390"
"262602","37.39430405","0.01747922","0.02674204","0.0","56","4","3","false","C03862","3.75","1","0","false","0","C03862","105882024240"
"262611","27.46570397","0.02401979","0.03640904","0.0","46","8","1","false","G00008","3.75","7","0","false","0","G00008","147980684838"
"266708","1.0","2.065E-5","1.0","0.0","1","2","1","false","CA7","14.0","1","0","false","0","CA7","72486390"
"262613","31.44805455","0.0238746","0.03179847","0.0","50","2","1","false","G10598","2.5","1","0","false","0","G10598","143269125470"
"262614","30.45246691","0.0239109","0.03283806","0.0","49","2","1","false","ALG8","2.0","1","0","false","0","ALG8","144447015294"
"266710","1.0","2.065E-5","1.0","0.0","1","2","1","false","CA8","14.0","1","0","false","0","CA8","72486390"
"266704","1.0","2.065E-5","1.0","0.0","1","2","1","false","CA5A","14.0","1","0","false","0","CA5A","72486390"
"262608","29.45687926","0.0239472","0.03394793","0.0","48","2","1","false","G10599","2.0","1","0","false","0","G10599","145624905130"
"262609","28.46129162","0.0239835","0.03513544","0.0","47","2","1","false","ALG10B","5.0","1","0","false","0","ALG10B","146802794978"
"266706","1.0","2.065E-5","1.0","0.0","1","2","1","false","CA6","14.0","1","0","false","0","CA6","72486390"
"262620","33.43762535","0.02168443","0.02990643","0.0","52","2","1","false","G00007","3.5","1","0","false","0","G00007","132390498070"
"266716","0.0","0.0","0.0","0.0","0","13","13","false","C00288","2.0","0","0","false","0","C00288","0"
"258519","0.0","0.0","0.0","0.0","0","19","19","false","C11131","32.0","0","0","false","0","C11131","0"
"266712","1.0","2.065E-5","1.0","0.0","1","2","1","false","CA9","14.0","1","0","false","0","CA9","72486390"
"262617","33.43922984","0.0018129","0.02990499","0.0","52","2","1","false","C01246","2.5","1","0","false","0","C01246","7305297735"
"266714","1.0","2.065E-5","1.0","0.0","1","2","1","false","CA12","14.0","1","0","false","0","CA12","72486390"
"262618","32.4436422","0.02383831","0.03082268","0.0","51","3","2","false","ALG6","2.0","1","0","false","0","ALG6","142091235658"
"262628","35.40633775","0.02150295","0.02824353","0.0","54","2","1","false","G10595","3.5","1","0","false","0","G10595","126501050480"
"262629","34.41235459","0.02245291","0.02905933","0.0","53","4","2","false","ALG9","2.0","2","0","false","0","ALG9","131331589894"
"262623","37.40874448","5.3639E-4","0.02673172","0.0","56","2","1","false","G10596","3.0","1","0","false","0","G10596","79320907"
"262624","36.40994785","5.7269E-4","0.02746502","0.0","55","2","1","false","ALG12","2.0","1","0","false","0","ALG12","1257210425"
"262626","35.41115122","6.0899E-4","0.02823969","0.0","54","2","1","false","G10597","3.0","1","0","false","0","G10597","2435099943"
"266731","14.63618131","0.00233305","0.06832383","0.0","39","2","1","false","SUOX","3.5","1","0","false","0","SUOX","120185873"
"262637","2.16666667","0.0016126","0.46153846","0.0","4","5","3","false","G00020","2.4","2","0","false","0","G00020","59964382116"
"262638","1.75","6.751E-4","0.57142857","0.0","3","4","2","false","MGAT5B","2.75","2","0","false","0","MGAT5B","26650805168"
"262632","37.39109507","0.00364646","0.02674434","0.0","56","2","1","false","G00006","3.0","1","0","false","0","G00006","17045697564"
"262633","36.4003209","0.02146665","0.02747229","0.0","55","3","2","false","ALG3","2.6666666666666665","1","0","false","0","ALG3","125323161082"
"266730","15.63016446","0.00229675","0.06397885","0.0","40","4","3","false","C00094","3.0","1","0","false","0","C00094","196560052"
"258539","10.9827517","2.3201E-4","0.09105186","0.0","42","3","1","false","C05301","15.333333333333334","2","0","false","0","C05301","3707354"
"266741","10.51483561","0.0","0.09510372","0.0","42","2","0","false","C00320","4.0","2","0","false","0","C00320","0"
"258544","10.72523065","0.00107713","0.09323809","0.0","43","14","6","false","CYP1B1","9.642857142857142","8","0","false","0","CYP1B1","51432770"
"262645","37.21460088","0.00257771","0.02687117","0.0","56","8","7","false","C00621","3.75","1","0","false","0","C00621","2776229120"
"262646","36.21901324","0.00261401","0.02760981","0.0","55","2","1","false","DOLPP1","7.5","1","0","false","0","DOLPP1","3716157114"
"262640","2.0","4.033E-4","0.5","0.0","3","2","1","false","MGAT5","4.0","1","0","false","0","MGAT5","19988103855"
"266736","14.64099479","3.1E-7","0.06830137","0.0","39","2","1","false","BPNT1","4.0","1","0","false","0","BPNT1","7"
"258548","10.02325581","3.048E-4","0.09976798","0.0","41","2","1","false","SULT1E1","18.0","1","0","false","0","SULT1E1","9799407"
"262642","1.5","5.3969E-4","0.66666667","0.0","2","3","2","false","G00021","2.6666666666666665","1","0","false","0","G00021","26650805158"
"258547","11.01923848","0.0","0.09075037","0.0","42","1","0","false","C02538","2.0","1","0","false","0","C02538","0"
"266747","18.61017628","3.0504E-4","0.05373404","0.0","43","2","1","false","SQOR","1.5","1","0","false","0","SQOR","6384011"
"262652","12.49338147","0.01923712","0.08004238","0.0","40","4","1","false","G00016","5.5","3","0","false","0","G00016","52615981644"
"266749","17.61723447","6.0984E-4","0.0567626","0.0","42","2","1","false","C17267","2.0","1","0","false","0","C17267","12768020"
"262654","1.0","2.6997E-4","1.0","0.0","1","2","1","false","MGAT4C","2.0","1","0","false","0","MGAT4C","13325402580"
"262649","14.29201765","0.02238593","0.06996913","0.0","35","6","1","false","G00015","2.0","5","0","false","0","G00015","134746068124"
"262650","13.47934216","0.01920083","0.0741876","0.0","41","2","1","false","FUT8","5.0","1","0","false","0","FUT8","54815124602"
"266746","19.60272327","0.0","0.05101332","0.0","44","1","0","false","C00283","2.0","1","0","false","0","C00283","0"
"262659","12.77577216","0.00139467","0.07827316","0.0","39","6","3","false","B4GALT3","8.666666666666666","3","0","false","0","B4GALT3","2290625554"
"266756","1.4","1.3853E-4","0.71428571","0.0","2","4","1","false","C03402","3.5","3","0","false","0","C03402","1042875"
"266758","1.0","1.3425E-4","1.0","0.0","1","2","1","false","HARS2","4.5","1","0","false","0","HARS2","5890395"
"262662","1.33333333","8.055E-4","0.75","0.0","2","5","3","false","G00017","4.8","2","0","false","0","G00017","40211644"
"266751","16.62389735","9.1439E-4","0.06015437","0.0","41","2","1","false","ETHE1","3.0","1","0","false","0","ETHE1","19152027"
"262656","0.0","0.0","0.0","0.0","0","1","1","false","G00022","2.0","0","0","false","0","G00022","0"
"266754","2.16666667","4.0642E-4","0.46153846","0.0","3","2","1","false","NARS2","3.0","1","0","false","0","NARS2","42422094"
"262668","1.0","1.3431E-4","1.0","0.0","1","2","1","false","ST6GAL2","3.5","1","0","false","0","ST6GAL2","10052912"
"266765","1.0","8.95E-5","1.0","0.0","1","2","1","false","FARSB","6.0","1","0","false","0","FARSB","41868774"
"262670","0.0","0.0","0.0","0.0","0","2","2","false","G00018","2.0","0","0","false","0","G00018","0"
"266760","1.0","1.3425E-4","1.0","0.0","1","2","1","false","HARS","4.5","1","0","false","0","HARS","5890395"
