"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"174790","3.55004091","3.93E-6","0.2816869","0.33333333","4","10","false","PLA2G2F","146.5","4","0","0","0.81785422","false","0","PLA2G2F","27358","0.50257732"
"191171","4.12217071","0.0","0.24259063","1.0","2","10","false","FGB","103.5","2","0","0","0.77698781","false","0","FGB","0","0.82142857"
"174788","3.55004091","3.93E-6","0.2816869","0.33333333","4","10","false","PLA2G5","146.5","4","0","0","0.81785422","false","0","PLA2G5","27358","0.50257732"
"182986","4.03190619","0.00280635","0.24802164","0.07575758","12","10","false","RUNX1","29.0","12","0","0","0.78343527","false","0","RUNX1","11455306","0.13636364"
"182984","4.41368966","0.0","0.22656781","0.0","1","11","false","IL34","72.0","1","0","0","0.75616502","false","0","IL34","0","0.0"
"174792","3.55004091","3.93E-6","0.2816869","0.33333333","4","10","false","PLA2G12A","146.5","4","0","0","0.81785422","false","0","PLA2G12A","27358","0.50257732"
"182989","4.1543496","2.5819E-4","0.24071157","0.06666667","6","10","false","RUNX1T1","32.0","6","0","0","0.77468931","false","0","RUNX1T1","520140","0.23383085"
"174797","3.55004091","3.93E-6","0.2816869","0.33333333","4","10","false","PLA2G12B","146.5","4","0","0","0.81785422","false","0","PLA2G12B","27358","0.50257732"
"174795","3.55004091","3.93E-6","0.2816869","0.33333333","4","10","false","PLA2G10","146.5","4","0","0","0.81785422","false","0","PLA2G10","27358","0.50257732"
"174801","3.6152168","2.223E-5","0.27660858","0.0","3","10","false","ETS2","131.66666667","3","0","0","0.8131988","false","0","ETS2","91284","0.64052288"
"174799","3.6152168","2.223E-5","0.27660858","0.0","3","10","false","ETS1","131.66666667","3","0","0","0.8131988","false","0","ETS1","91284","0.64052288"
"199385","4.95282247","2.36E-5","0.20190508","0.0","7","11","false","F2RL2","10.71428571","7","0","0","0.71765554","false","0","F2RL2","14704","0.22077922"
"199389","4.98118353","0.0","0.2007555","0.0","1","11","false","CPB2","39.0","1","0","0","0.71562975","false","0","CPB2","0","0.0"
"199387","4.97054813","8.58E-6","0.20118506","0.0","2","11","false","THBD","25.0","2","0","0","0.71638942","false","0","THBD","5356","0.53333333"
"199393","4.98118353","0.0","0.2007555","0.0","1","11","false","F13B","39.0","1","0","0","0.71562975","false","0","F13B","0","0.0"
"199391","4.98118353","0.0","0.2007555","0.0","1","11","false","F13A1","39.0","1","0","0","0.71562975","false","0","F13A1","0","0.0"
"199397","4.91764385","8.4565E-4","0.20334941","0.3","5","11","false","SERPINC1","10.8","5","0","0","0.7201683","false","0","SERPINC1","6731530","0.22553191"
"199395","4.97000273","5.5398E-4","0.20120713","0.0","3","11","false","F5","17.0","3","0","0","0.71642838","false","0","F5","6811410","0.35555556"
"199401","4.97054813","8.58E-6","0.20118506","0.0","2","11","false","SERPINA5","25.0","2","0","0","0.71638942","false","0","SERPINA5","5356","0.53333333"
"199399","4.98118353","0.0","0.2007555","0.0","1","11","false","SERPIND1","39.0","1","0","0","0.71562975","false","0","SERPIND1","0","0.0"
"199406","5.17371148","0.0","0.19328484","0.0","1","11","false","SERPINB1","6.0","1","0","0","0.70187775","false","0","SERPINB1","0","0.0"
"174833","3.41314426","0.00702951","0.29298498","0.18353576","39","10","false","BMPR2","41.64102564","39","0","0","0.82763255","false","0","BMPR2","68110168","0.10377901"
"174837","3.41287156","0.00267501","0.29300839","0.2228164","34","10","false","BMPR1A","47.79411765","34","0","0","0.82765203","false","0","BMPR1A","54696932","0.11881768"
"174835","3.41396237","0.00193109","0.29291477","0.25057471","30","10","false","ACVR1","53.1","30","0","0","0.82757412","false","0","ACVR1","37709712","0.13200663"
"199418","5.14016908","1.127E-5","0.19454613","0.0","3","11","false","PLAT","5.33333333","3","0","0","0.70427364","false","0","PLAT","8890","0.43333333"
"174839","3.41287156","0.00268062","0.29300839","0.20499109","34","10","false","BMPR1B","47.47058824","34","0","0","0.82765203","false","0","BMPR1B","54694710","0.11801288"
"174845","3.31988001","0.00248584","0.30121571","0.17368421","20","9","false","TLR4","67.2","20","0","0","0.83429428","false","0","TLR4","3601080","0.12829828"
"199420","5.09790019","8.286E-5","0.1961592","0.33333333","4","11","false","F12","5.25","4","0","0","0.70729284","false","0","F12","487624","0.328125"
"199423","5.13907827","0.00110193","0.19458742","0.0","5","11","false","PLAU","3.6","5","0","0","0.70435155","false","0","PLAU","2043860","0.26"
"174862","3.5934006","8.561E-5","0.27828793","0.0","4","10","false","DAPK1","106.25","4","0","0","0.8147571","false","0","DAPK1","321706","0.49182243"
"174860","3.59285519","0.00123801","0.27833017","0.33333333","7","10","false","MITF","60.42857143","7","0","0","0.81479606","false","0","MITF","2246172","0.27715602"
"174866","3.5934006","8.561E-5","0.27828793","0.0","4","10","false","DAPK2","106.25","4","0","0","0.8147571","false","0","DAPK2","321706","0.49182243"
"174864","3.5934006","8.561E-5","0.27828793","0.0","4","10","false","DAPK3","106.25","4","0","0","0.8147571","false","0","DAPK3","321706","0.49182243"
"174869","3.6266703","0.0","0.27573502","0.0","2","10","false","CALD1","192.5","2","0","0","0.81238069","false","0","CALD1","12","0.96717172"
