"SUID","ALL-PATH-LIST","EdgeBetweenness","interaction","name","NPATHWAYS","PATHWAY","selected","shared interaction","shared name"
"246544","hsa03320","1.0","interaction","RXRG (interaction) DBI","1","hsa03320","false","interaction","RXRG (interaction) DBI"
"246543","hsa03320","1.0","interaction","RXRB (interaction) DBI","1","hsa03320","false","interaction","RXRB (interaction) DBI"
"246550","hsa03320","1.0","interaction","PPARA (interaction) FABP2","1","hsa03320","false","interaction","PPARA (interaction) FABP2"
"246548","hsa03320","1.0","interaction","PPARA (interaction) FABP4","1","hsa03320","false","interaction","PPARA (interaction) FABP4"
"246554","hsa03320","1.0","interaction","PPARA (interaction) FABP5","1","hsa03320","false","interaction","PPARA (interaction) FABP5"
"246552","hsa03320","1.0","interaction","PPARA (interaction) FABP3","1","hsa03320","false","interaction","PPARA (interaction) FABP3"
"246558","hsa03320","1.0","interaction","PPARA (interaction) FABP7","1","hsa03320","false","interaction","PPARA (interaction) FABP7"
"246556","hsa03320","1.0","interaction","PPARA (interaction) FABP6","1","hsa03320","false","interaction","PPARA (interaction) FABP6"
"246562","hsa03320","1.0","interaction","RXRA (interaction) FABP3","1","hsa03320","false","interaction","RXRA (interaction) FABP3"
"246561","hsa03320","1.0","interaction","RXRA (interaction) FABP2","1","hsa03320","false","interaction","RXRA (interaction) FABP2"
"246560","hsa03320","1.0","interaction","RXRA (interaction) FABP4","1","hsa03320","false","interaction","RXRA (interaction) FABP4"
"246559","hsa03320","1.0","interaction","RXRA (interaction) FABP1","1","hsa03320","false","interaction","RXRA (interaction) FABP1"
"246566","hsa03320","1.0","interaction","RXRB (interaction) FABP1","1","hsa03320","false","interaction","RXRB (interaction) FABP1"
"246565","hsa03320","1.0","interaction","RXRA (interaction) FABP7","1","hsa03320","false","interaction","RXRA (interaction) FABP7"
"246564","hsa03320","1.0","interaction","RXRA (interaction) FABP6","1","hsa03320","false","interaction","RXRA (interaction) FABP6"
"246563","hsa03320","1.0","interaction","RXRA (interaction) FABP5","1","hsa03320","false","interaction","RXRA (interaction) FABP5"
"246570","hsa03320","1.0","interaction","RXRB (interaction) FABP3","1","hsa03320","false","interaction","RXRB (interaction) FABP3"
"246569","hsa03320","1.0","interaction","RXRB (interaction) FABP2","1","hsa03320","false","interaction","RXRB (interaction) FABP2"
"246568","hsa03320","1.0","interaction","RXRB (interaction) FABP4","1","hsa03320","false","interaction","RXRB (interaction) FABP4"
"246567","hsa03320","1.0","interaction","RXRG (interaction) FABP1","1","hsa03320","false","interaction","RXRG (interaction) FABP1"
"246574","hsa03320","1.0","interaction","RXRG (interaction) FABP4","1","hsa03320","false","interaction","RXRG (interaction) FABP4"
"246573","hsa03320","1.0","interaction","RXRB (interaction) FABP7","1","hsa03320","false","interaction","RXRB (interaction) FABP7"
"246572","hsa03320","1.0","interaction","RXRB (interaction) FABP6","1","hsa03320","false","interaction","RXRB (interaction) FABP6"
"246571","hsa03320","1.0","interaction","RXRB (interaction) FABP5","1","hsa03320","false","interaction","RXRB (interaction) FABP5"
